File Size, Method, Mean (ms), Stddev (ms)
117440512, write_plain 4 Kb, 4453.558263, 585.468382
117440512, write_plain 8 Kb, 4050.025889, 10.328579
117440512, write_plain 12 Kb, 3888.603320, 177.602496
117440512, write_plain 16 Kb, 4291.986050, 717.288984
117440512, write_plain 24 Kb, 3963.420467, 71.535449
117440512, write_plain 32 Kb, 4504.485098, 1348.078293
117440512, write_plain 40 Kb, 3901.961081, 156.040619
117440512, write_plain 48 Kb, 3960.482817, 3.513725
117440512, write_plain 56 Kb, 3898.732399, 47.826741
117440512, write_plain 64 Kb, 3912.053380, 72.220865
117440512, write_plain 256 Kb, 4099.942517, 320.776346
117440512, write_plain 1024 Kb, 3772.162957, 172.980543
117440512, write_plain 4096 Kb, 4465.392309, 1328.716541
117440512, write_plain 16384 Kb, 3884.616360, 6.142016
117440512, write_plain 65536 Kb, 5108.949667, 1529.273856
117440512, write_direct 4 Kb, 6561.519068, 291.096377
117440512, write_direct 8 Kb, 5499.095288, 387.691325
117440512, write_direct 12 Kb, 4696.323415, 258.699199
117440512, write_direct 16 Kb, 4250.140671, 148.628685
117440512, write_direct 24 Kb, 4323.183831, 271.864396
117440512, write_direct 32 Kb, 4457.166274, 194.406171
117440512, write_direct 40 Kb, 4366.331593, 184.098981
117440512, write_direct 48 Kb, 4539.525541, 298.121616
117440512, write_direct 56 Kb, 4286.752778, 118.383908
117440512, write_direct 64 Kb, 4198.340650, 203.133351
117440512, write_direct 256 Kb, 3880.444094, 75.864290
117440512, write_direct 1024 Kb, 3924.449293, 133.234846
117440512, write_direct 4096 Kb, 4119.963326, 97.959284
117440512, write_direct 16384 Kb, 4055.681062, 69.994461
117440512, write_direct 65536 Kb, 4502.289267, 244.993689
117440512, write_preallocate 4 Kb, 3271.394721, 8.647863
117440512, write_preallocate 8 Kb, 3225.956500, 75.282284
117440512, write_preallocate 12 Kb, 4379.377325, 1250.890285
117440512, write_preallocate 16 Kb, 3226.960300, 181.795120
117440512, write_preallocate 24 Kb, 3791.679735, 207.333804
117440512, write_preallocate 32 Kb, 3203.113900, 182.012857
117440512, write_preallocate 40 Kb, 3823.339347, 247.401437
117440512, write_preallocate 48 Kb, 3871.626984, 119.439955
117440512, write_preallocate 56 Kb, 3194.669454, 186.695213
117440512, write_preallocate 64 Kb, 3101.636676, 3.647688
117440512, write_preallocate 256 Kb, 3089.595888, 2.554658
117440512, write_preallocate 1024 Kb, 3190.089115, 241.182655
117440512, write_preallocate 4096 Kb, 3052.105097, 4.956135
117440512, write_preallocate 16384 Kb, 3052.443178, 4.664793
117440512, write_preallocate 65536 Kb, 5040.344729, 1534.967290
117440512, write_direct_preallocate 4 Kb, 6964.876416, 252.186478
117440512, write_direct_preallocate 8 Kb, 4717.114582, 162.837439
117440512, write_direct_preallocate 12 Kb, 4613.055634, 188.941092
117440512, write_direct_preallocate 16 Kb, 4044.620264, 52.704942
117440512, write_direct_preallocate 24 Kb, 4584.303980, 134.111085
117440512, write_direct_preallocate 32 Kb, 4363.749948, 113.191849
117440512, write_direct_preallocate 40 Kb, 4277.922091, 185.514589
117440512, write_direct_preallocate 48 Kb, 4511.823564, 382.205539
117440512, write_direct_preallocate 56 Kb, 4267.104153, 285.511970
117440512, write_direct_preallocate 64 Kb, 4273.131437, 120.780617
117440512, write_direct_preallocate 256 Kb, 3972.477469, 90.166409
117440512, write_direct_preallocate 1024 Kb, 4143.143415, 195.531328
117440512, write_direct_preallocate 4096 Kb, 4157.175660, 135.799670
117440512, write_direct_preallocate 16384 Kb, 4118.510516, 132.800656
117440512, write_direct_preallocate 65536 Kb, 4509.212898, 201.402378
117440512, write_async_plain 4 Kb, 3910.389988, 316.649390
117440512, write_async_plain 8 Kb, 4031.428240, 11.881987
117440512, write_async_plain 12 Kb, 3990.398146, 14.494791
117440512, write_async_plain 16 Kb, 3852.431474, 184.724646
117440512, write_async_plain 24 Kb, 3913.112868, 83.584974
117440512, write_async_plain 32 Kb, 3929.126350, 68.019943
117440512, write_async_plain 40 Kb, 3944.468390, 41.552718
117440512, write_async_plain 48 Kb, 3914.128936, 98.759089
117440512, write_async_plain 56 Kb, 3930.240854, 44.199107
117440512, write_async_plain 64 Kb, 3853.261086, 115.238241
117440512, write_async_plain 256 Kb, 3963.149679, 6.571159
117440512, write_async_plain 1024 Kb, 4462.213077, 1181.835268
117440512, write_async_plain 4096 Kb, 5039.357956, 1405.712540
117440512, write_async_plain 16384 Kb, 3697.088444, 137.002817
117440512, write_async_plain 65536 Kb, 3543.997852, 49.475672
117440512, write_async_direct 4 Kb, 3895.941538, 250.446100
117440512, write_async_direct 8 Kb, 4002.742992, 28.228460
117440512, write_async_direct 12 Kb, 3621.704088, 124.805547
117440512, write_async_direct 16 Kb, 3369.149984, 196.176206
117440512, write_async_direct 24 Kb, 3451.164975, 195.945031
117440512, write_async_direct 32 Kb, 3703.788184, 137.757443
117440512, write_async_direct 40 Kb, 3771.720891, 171.226893
117440512, write_async_direct 48 Kb, 3838.443471, 241.716932
117440512, write_async_direct 56 Kb, 3911.777080, 131.469343
117440512, write_async_direct 64 Kb, 3928.263401, 216.191838
117440512, write_async_direct 256 Kb, 3868.134072, 250.543293
117440512, write_async_direct 1024 Kb, 3859.516219, 87.180581
117440512, write_async_direct 4096 Kb, 3809.918396, 88.237901
117440512, write_async_direct 16384 Kb, 4126.555712, 197.114919
117440512, write_async_direct 65536 Kb, 5096.963448, 5.358642
117440512, write_async_preallocate 4 Kb, 6486.094496, 9.012804
117440512, write_async_preallocate 8 Kb, 5097.904249, 1540.973166
117440512, write_async_preallocate 12 Kb, 6146.501624, 19.932048
