File Size, Method, Mean (ms), Stddev (ms)
16777216, write_plain 4 Kb, 688.225350, 194.923707
16777216, write_plain 8 Kb, 678.478144, 219.872739
16777216, write_plain 12 Kb, 598.209968, 45.823115
16777216, write_plain 16 Kb, 546.056216, 44.960788
16777216, write_plain 24 Kb, 566.885754, 3.212274
16777216, write_plain 32 Kb, 566.742523, 38.140763
16777216, write_plain 40 Kb, 574.369018, 24.366634
16777216, write_plain 48 Kb, 555.501112, 24.841912
16777216, write_plain 56 Kb, 566.223778, 36.544044
16777216, write_plain 64 Kb, 554.117945, 16.385028
16777216, write_plain 256 Kb, 563.225916, 38.412612
16777216, write_plain 1024 Kb, 556.382025, 1.147711
16777216, write_plain 4096 Kb, 552.871419, 2.743630
16777216, write_plain 16384 Kb, 558.160427, 3.033700
16777216, write_direct 4 Kb, 975.860250, 89.875143
16777216, write_direct 8 Kb, 768.787741, 123.226571
16777216, write_direct 12 Kb, 690.516895, 84.955926
16777216, write_direct 16 Kb, 608.211417, 54.311772
16777216, write_direct 24 Kb, 668.395265, 123.145021
16777216, write_direct 32 Kb, 550.481969, 17.517482
16777216, write_direct 40 Kb, 553.316897, 3.431719
16777216, write_direct 48 Kb, 615.170336, 81.994445
16777216, write_direct 56 Kb, 609.102043, 85.427057
16777216, write_direct 64 Kb, 538.696264, 4.488429
16777216, write_direct 256 Kb, 515.201077, 1.576814
16777216, write_direct 1024 Kb, 542.172268, 29.695342
16777216, write_direct 4096 Kb, 543.846439, 2.357928
16777216, write_direct 16384 Kb, 616.536298, 87.875936
16777216, write_preallocate 4 Kb, 465.827167, 2.887159
16777216, write_preallocate 8 Kb, 454.337967, 2.120146
16777216, write_preallocate 12 Kb, 541.169955, 45.643266
16777216, write_preallocate 16 Kb, 470.279483, 45.533888
16777216, write_preallocate 24 Kb, 538.625162, 46.136496
16777216, write_preallocate 32 Kb, 467.974751, 48.889455
16777216, write_preallocate 40 Kb, 540.106141, 46.496169
16777216, write_preallocate 48 Kb, 560.582305, 2.373504
16777216, write_preallocate 56 Kb, 559.630760, 73.058236
16777216, write_preallocate 64 Kb, 465.989909, 48.582457
16777216, write_preallocate 256 Kb, 441.420937, 2.321472
16777216, write_preallocate 1024 Kb, 438.396863, 2.995042
16777216, write_preallocate 4096 Kb, 436.701935, 3.506867
16777216, write_preallocate 16384 Kb, 436.541268, 2.782955
16777216, write_direct_preallocate 4 Kb, 916.402655, 98.753705
16777216, write_direct_preallocate 8 Kb, 870.908142, 58.329574
16777216, write_direct_preallocate 12 Kb, 617.280552, 21.824163
16777216, write_direct_preallocate 16 Kb, 578.001226, 13.077547
16777216, write_direct_preallocate 24 Kb, 608.413507, 68.431312
16777216, write_direct_preallocate 32 Kb, 563.411313, 48.553047
16777216, write_direct_preallocate 40 Kb, 549.829054, 0.558116
16777216, write_direct_preallocate 48 Kb, 553.939366, 12.127443
16777216, write_direct_preallocate 56 Kb, 548.976766, 23.956409
16777216, write_direct_preallocate 64 Kb, 533.479663, 1.915276
16777216, write_direct_preallocate 256 Kb, 513.904265, 1.451462
16777216, write_direct_preallocate 1024 Kb, 526.131802, 1.336596
16777216, write_direct_preallocate 4096 Kb, 539.640126, 2.506081
16777216, write_direct_preallocate 16384 Kb, 543.626493, 3.593373
16777216, write_async_plain 4 Kb, 563.891459, 47.796103
16777216, write_async_plain 8 Kb, 580.051092, 3.273066
16777216, write_async_plain 12 Kb, 573.330872, 2.819056
16777216, write_async_plain 16 Kb, 571.858457, 2.853211
16777216, write_async_plain 24 Kb, 567.516380, 2.795442
16777216, write_async_plain 32 Kb, 565.373339, 2.609685
16777216, write_async_plain 40 Kb, 567.479432, 3.460628
16777216, write_async_plain 48 Kb, 559.762008, 17.551039
16777216, write_async_plain 56 Kb, 570.147545, 2.872692
16777216, write_async_plain 64 Kb, 566.512178, 5.288463
16777216, write_async_plain 256 Kb, 574.996623, 24.036656
16777216, write_async_plain 1024 Kb, 544.645257, 42.004970
16777216, write_async_plain 4096 Kb, 532.985263, 7.529306
