Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 16, 89.857965, 23.301018
read_plain 8 Kb, 16, 70.889042, 13.991190
read_plain 12 Kb, 16, 71.555393, 14.850544
read_plain 16 Kb, 16, 65.827047, 9.829299
read_plain 24 Kb, 16, 63.043112, 0.458872
read_plain 32 Kb, 16, 61.543535, 0.793192
read_plain 40 Kb, 16, 61.748406, 0.639636
read_plain 48 Kb, 16, 63.990917, 5.056015
read_plain 56 Kb, 16, 61.879954, 0.666240
read_plain 64 Kb, 16, 66.770285, 17.333813
read_plain 256 Kb, 16, 61.860713, 5.434716
read_plain 1024 Kb, 16, 52.523037, 0.863519
read_plain 4096 Kb, 16, 48.137394, 1.253708
read_plain 16384 Kb, 16, 60.860736, 13.928639
read_nocache 4 Kb, 16, 547.066919, 47.952360
read_nocache 8 Kb, 16, 311.125165, 19.432585
read_nocache 12 Kb, 16, 239.177113, 25.544224
read_nocache 16 Kb, 16, 202.106836, 21.142643
read_nocache 24 Kb, 16, 155.220939, 19.086740
read_nocache 32 Kb, 16, 117.835076, 4.336653
read_nocache 40 Kb, 16, 109.958007, 7.529030
read_nocache 48 Kb, 16, 110.888796, 12.365609
read_nocache 56 Kb, 16, 99.642180, 5.576126
read_nocache 64 Kb, 16, 99.569930, 12.994572
read_nocache 256 Kb, 16, 93.296871, 3.112942
read_nocache 1024 Kb, 16, 55.707829, 0.975314
read_nocache 4096 Kb, 16, 49.463407, 1.275932
read_nocache 16384 Kb, 16, 51.375004, 1.679687
read_readahead 4 Kb, 16, 69.436552, 20.770237
read_readahead 8 Kb, 16, 62.598633, 0.426987
read_readahead 12 Kb, 16, 63.074316, 0.864597
read_readahead 16 Kb, 16, 61.758755, 1.100261
read_readahead 24 Kb, 16, 63.450343, 0.544442
read_readahead 32 Kb, 16, 61.296078, 0.707470
read_readahead 40 Kb, 16, 67.228013, 16.249196
read_readahead 48 Kb, 16, 68.454744, 14.326035
read_readahead 56 Kb, 16, 61.774842, 0.586327
read_readahead 64 Kb, 16, 61.283802, 0.584416
read_readahead 256 Kb, 16, 60.264735, 0.959642
read_readahead 1024 Kb, 16, 56.437402, 10.736494
read_readahead 4096 Kb, 16, 48.183427, 0.870353
read_readahead 16384 Kb, 16, 52.749742, 1.031905
read_rdadvise 4 Kb, 16, 36.944370, 0.417050
read_rdadvise 8 Kb, 16, 36.467342, 0.857696
read_rdadvise 12 Kb, 16, 41.358886, 14.890817
read_rdadvise 16 Kb, 16, 40.376672, 12.881717
read_rdadvise 24 Kb, 16, 36.571472, 0.655871
read_rdadvise 32 Kb, 16, 36.168795, 0.733795
read_rdadvise 40 Kb, 16, 36.360751, 0.576082
read_rdadvise 48 Kb, 16, 36.255361, 0.329364
read_rdadvise 56 Kb, 16, 36.501201, 0.734927
read_rdadvise 64 Kb, 16, 42.097745, 14.780752
read_rdadvise 256 Kb, 16, 40.174077, 11.506182
read_rdadvise 1024 Kb, 16, 39.374903, 7.973299
read_rdadvise 4096 Kb, 16, 41.930408, 10.023610
read_rdadvise 16384 Kb, 16, 46.563473, 0.658796
read_async_nocache 4 Kb, 16, 294.925513, 20.103889
read_async_nocache 8 Kb, 16, 187.425850, 23.789628
read_async_nocache 12 Kb, 16, 169.974566, 37.085077
read_async_nocache 16 Kb, 16, 124.082512, 19.873131
read_async_nocache 24 Kb, 16, 116.174064, 32.361491
read_async_nocache 32 Kb, 16, 84.222821, 18.489883
read_async_nocache 40 Kb, 16, 80.333961, 22.098203
read_async_nocache 48 Kb, 16, 73.600532, 7.714166
read_async_nocache 56 Kb, 16, 80.271424, 16.695584
read_async_nocache 64 Kb, 16, 93.671862, 28.449579
read_async_nocache 256 Kb, 16, 77.709911, 1.425598
read_async_nocache 1024 Kb, 16, 51.183204, 13.495150
read_async_nocache 4096 Kb, 16, 42.481178, 1.093698
read_async_nocache 16384 Kb, 16, 52.020453, 1.724242
read_async_rdahead 4 Kb, 16, 57.671974, 0.601502
read_async_rdahead 8 Kb, 16, 58.014371, 0.393235
read_async_rdahead 12 Kb, 16, 61.458364, 8.871435
read_async_rdahead 16 Kb, 16, 57.257959, 0.537413
read_async_rdahead 24 Kb, 16, 59.629074, 5.224279
read_async_rdahead 32 Kb, 16, 57.258704, 1.447053
read_async_rdahead 40 Kb, 16, 61.483012, 11.877607
read_async_rdahead 48 Kb, 16, 57.370545, 0.683500
read_async_rdahead 56 Kb, 16, 60.779366, 12.073696
read_async_rdahead 64 Kb, 16, 56.510776, 0.460635
read_async_rdahead 256 Kb, 16, 59.173692, 9.492806
read_async_rdahead 1024 Kb, 16, 55.041456, 10.915384
read_async_rdahead 4096 Kb, 16, 44.535332, 1.203277
read_async_rdahead 16384 Kb, 16, 53.476252, 1.641033
read_async_rdadvise 4 Kb, 16, 40.560194, 3.109562
read_async_rdadvise 8 Kb, 16, 46.580718, 10.733254
read_async_rdadvise 12 Kb, 16, 41.321348, 4.428674
read_async_rdadvise 16 Kb, 16, 38.488199, 3.476699
read_async_rdadvise 24 Kb, 16, 41.550587, 3.059087
read_async_rdadvise 32 Kb, 16, 39.866777, 3.802143
read_async_rdadvise 40 Kb, 16, 42.590165, 10.278411
read_async_rdadvise 48 Kb, 16, 43.302312, 12.408066
read_async_rdadvise 56 Kb, 16, 39.446935, 3.641081
read_async_rdadvise 64 Kb, 16, 38.055008, 3.467396
read_async_rdadvise 256 Kb, 16, 37.096670, 1.067366
read_async_rdadvise 1024 Kb, 16, 36.586763, 0.672449
read_async_rdadvise 4096 Kb, 16, 39.411639, 0.539486
read_async_rdadvise 16384 Kb, 16, 47.375500, 1.310069
