File Size, Method, Mean (ms), Stddev (ms)
117440512, read_plain 4 Kb, 404.337113, 142.847481
117440512, read_plain 8 Kb, 332.273223, 0.857448
117440512, read_plain 12 Kb, 332.749413, 0.169531
117440512, read_plain 16 Kb, 332.098271, 0.381303
117440512, read_plain 24 Kb, 337.127958, 3.317813
117440512, read_plain 32 Kb, 335.194557, 0.120515
117440512, read_plain 40 Kb, 330.860136, 0.788082
117440512, read_plain 48 Kb, 330.621329, 0.253609
117440512, read_plain 56 Kb, 331.958672, 2.116283
117440512, read_plain 64 Kb, 330.459942, 0.177811
117440512, read_plain 256 Kb, 338.112095, 6.872026
117440512, read_plain 1024 Kb, 374.909078, 10.151715
117440512, read_plain 4096 Kb, 386.648531, 2.046718
117440512, read_plain 16384 Kb, 412.161461, 24.426038
117440512, read_plain 65536 Kb, 398.287907, 9.769845
117440512, read_direct 4 Kb, 1745.785079, 7.740761
117440512, read_direct 8 Kb, 1108.342787, 46.151094
117440512, read_direct 12 Kb, 900.456349, 62.551131
117440512, read_direct 16 Kb, 756.011814, 64.929848
117440512, read_direct 24 Kb, 657.068617, 63.319100
117440512, read_direct 32 Kb, 640.549642, 35.685940
117440512, read_direct 40 Kb, 611.094102, 9.123696
117440512, read_direct 48 Kb, 594.470614, 10.857087
117440512, read_direct 56 Kb, 575.055877, 19.140439
117440512, read_direct 64 Kb, 557.635800, 11.051537
117440512, read_direct 256 Kb, 473.194506, 19.426587
117440512, read_direct 1024 Kb, 414.314297, 10.361367
117440512, read_direct 4096 Kb, 409.706765, 25.750752
117440512, read_direct 16384 Kb, 392.747471, 4.461008
117440512, read_direct 65536 Kb, 417.181466, 24.880396
117440512, read_fadvise 4 Kb, 328.893948, 1.187589
117440512, read_fadvise 8 Kb, 329.169214, 0.949275
117440512, read_fadvise 12 Kb, 329.035754, 0.780861
117440512, read_fadvise 16 Kb, 410.418520, 163.430795
117440512, read_fadvise 24 Kb, 331.317277, 0.891230
117440512, read_fadvise 32 Kb, 331.157363, 1.093159
117440512, read_fadvise 40 Kb, 327.370345, 0.644032
117440512, read_fadvise 48 Kb, 327.459312, 0.714293
117440512, read_fadvise 56 Kb, 327.398125, 0.695569
117440512, read_fadvise 64 Kb, 327.282760, 0.729050
117440512, read_fadvise 256 Kb, 328.524236, 0.704136
117440512, read_fadvise 1024 Kb, 331.835498, 1.158885
117440512, read_fadvise 4096 Kb, 392.674548, 24.863222
117440512, read_fadvise 16384 Kb, 402.774425, 20.411234
117440512, read_fadvise 65536 Kb, 406.769914, 21.966690
117440512, aio_read_direct 4 Kb, 2931.349697, 234.754562
117440512, aio_read_direct 8 Kb, 1847.691914, 107.062406
117440512, aio_read_direct 12 Kb, 1492.659293, 100.405274
117440512, aio_read_direct 16 Kb, 1215.069880, 63.888731
117440512, aio_read_direct 24 Kb, 929.417818, 45.245669
117440512, aio_read_direct 32 Kb, 790.635603, 47.878287
117440512, aio_read_direct 40 Kb, 672.743696, 25.758543
117440512, aio_read_direct 48 Kb, 621.814643, 24.200910
117440512, aio_read_direct 56 Kb, 584.281540, 26.528619
117440512, aio_read_direct 64 Kb, 555.920458, 20.348311
117440512, aio_read_direct 256 Kb, 398.471009, 7.688788
117440512, aio_read_direct 1024 Kb, 355.645122, 2.007420
117440512, aio_read_direct 4096 Kb, 342.796459, 0.391622
117440512, aio_read_direct 16384 Kb, 348.973414, 0.804355
117440512, aio_read_direct 65536 Kb, 386.287985, 0.154348
117440512, aio_read_fadvise 4 Kb, 329.138548, 1.313235
117440512, aio_read_fadvise 8 Kb, 329.024410, 1.077288
117440512, aio_read_fadvise 12 Kb, 330.034099, 1.213509
117440512, aio_read_fadvise 16 Kb, 328.676752, 0.672109
117440512, aio_read_fadvise 24 Kb, 330.887602, 0.812721
117440512, aio_read_fadvise 32 Kb, 330.808331, 0.713471
117440512, aio_read_fadvise 40 Kb, 327.428961, 0.827725
117440512, aio_read_fadvise 48 Kb, 327.640871, 0.650000
117440512, aio_read_fadvise 56 Kb, 327.466691, 0.758162
117440512, aio_read_fadvise 64 Kb, 327.451061, 0.564641
117440512, aio_read_fadvise 256 Kb, 328.155276, 0.630836
117440512, aio_read_fadvise 1024 Kb, 328.804731, 0.469274
117440512, aio_read_fadvise 4096 Kb, 332.417426, 0.662663
